,match_name,selection,market_type,handicap,commence_time,status,result_score
1155,New York Knicks vs Houston Rockets,New York Knicks,Spread,-5.5,2026-02-22 01:30:00+00:00,Lost,New York Knicks 108 - 106 Houston Rockets
1156,Miami Heat vs Memphis Grizzlies,Miami Heat,Spread,-11.5,2026-02-22 01:00:00+00:00,Won,Miami Heat 136 - 120 Memphis Grizzlies
1170,San Antonio Spurs vs Sacramento Kings,Sacramento Kings,Spread,16.5,2026-02-22 01:00:00+00:00,Lost,San Antonio Spurs 139 - 122 Sacramento Kings
1192,Los Angeles Clippers vs Orlando Magic,Orlando Magic,Spread,2.5,2026-02-23 02:00:00+00:00,Won,Los Angeles Clippers 109 - 111 Orlando Magic
1193,Golden State Warriors vs Denver Nuggets,Denver Nuggets,Spread,-6.5,2026-02-22 20:30:00+00:00,Lost,Golden State Warriors 128 - 117 Denver Nuggets
1194,Minnesota Timberwolves vs Philadelphia 76ers,Philadelphia 76ers,Spread,7.5,2026-02-23 00:00:00+00:00,Won,Minnesota Timberwolves 108 - 135 Philadelphia 76ers
1200,Los Angeles Lakers vs Boston Celtics,Boston Celtics,Spread,-3.5,2026-02-22 23:30:00+00:00,Won,Los Angeles Lakers 89 - 111 Boston Celtics
1239,Houston Rockets vs Utah Jazz,Utah Jazz,Spread,12.5,2026-02-24 02:30:00+00:00,Lost,Houston Rockets 125 - 105 Utah Jazz
1256,Los Angeles Lakers vs Orlando Magic,Los Angeles Lakers,Spread,-6.5,2026-02-25 03:30:00+00:00,Lost,Los Angeles Lakers 109 - 110 Orlando Magic
1257,Chicago Bulls vs Charlotte Hornets,Charlotte Hornets,Spread,-10.5,2026-02-25 01:00:00+00:00,Won,Chicago Bulls 99 - 131 Charlotte Hornets
1268,Toronto Raptors vs Oklahoma City Thunder,Oklahoma City Thunder,Spread,-2.5,2026-02-25 00:30:00+00:00,Won,Toronto Raptors 107 - 116 Oklahoma City Thunder
1269,Indiana Pacers vs Philadelphia 76ers,Philadelphia 76ers,Spread,-10.5,2026-02-25 00:00:00+00:00,Won,Indiana Pacers 114 - 135 Philadelphia 76ers
1270,Cleveland Cavaliers vs New York Knicks,Cleveland Cavaliers,Spread,-5.5,2026-02-25 00:30:00+00:00,Won,Cleveland Cavaliers 109 - 94 New York Knicks
1355,Dallas Mavericks vs Sacramento Kings,Dallas Mavericks,Spread,-8.5,2026-02-27 01:30:00+00:00,Lost,Dallas Mavericks 121 - 130 Sacramento Kings
1404,Boston Celtics vs Brooklyn Nets,Boston Celtics,Spread,-19.5,2026-02-28 00:30:00+00:00,Won,Boston Celtics 148 - 111 Brooklyn Nets
1408,Milwaukee Bucks vs New York Knicks,New York Knicks,Spread,-9.5,2026-02-28 01:00:00+00:00,Won,Milwaukee Bucks 98 - 127 New York Knicks
1410,Detroit Pistons vs Cleveland Cavaliers,Detroit Pistons,Spread,-7.5,2026-02-28 00:00:00+00:00,Lost,Detroit Pistons 122 - 119 Cleveland Cavaliers
1444,Utah Jazz vs New Orleans Pelicans,New Orleans Pelicans,Spread,-8.5,2026-03-01 02:30:00+00:00,Won,Utah Jazz 105 - 115 New Orleans Pelicans
1459,Denver Nuggets vs Minnesota Timberwolves,Denver Nuggets,Spread,-4.5,2026-03-01 20:30:00+00:00,Lost,Denver Nuggets 108 - 117 Minnesota Timberwolves
1460,Brooklyn Nets vs Cleveland Cavaliers,Cleveland Cavaliers,Spread,-13.5,2026-03-01 20:30:00+00:00,Lost,Brooklyn Nets 102 - 106 Cleveland Cavaliers
1503,Golden State Warriors vs Los Angeles Clippers,Los Angeles Clippers,Spread,-3.5,2026-03-03 03:00:00+00:00,Won,Golden State Warriors 101 - 114 Los Angeles Clippers
1558,New York Knicks vs Oklahoma City Thunder,New York Knicks,Spread,3.5,2026-03-05 00:00:00+00:00,Won,New York Knicks 100 - 103 Oklahoma City Thunder
1560,Milwaukee Bucks vs Atlanta Hawks,Milwaukee Bucks,Spread,-2.5,2026-03-05 02:30:00+00:00,Lost,Milwaukee Bucks 113 - 131 Atlanta Hawks
1561,Philadelphia 76ers vs Utah Jazz,Philadelphia 76ers,Spread,-10.5,2026-03-05 00:30:00+00:00,Lost,Philadelphia 76ers 106 - 102 Utah Jazz
1568,Memphis Grizzlies vs Portland Trail Blazers,Portland Trail Blazers,Spread,-10.5,2026-03-05 01:00:00+00:00,Lost,Memphis Grizzlies 114 - 122 Portland Trail Blazers
1591,Denver Nuggets vs Los Angeles Lakers,Denver Nuggets,Spread,-6.5,2026-03-06 03:00:00+00:00,Won,Denver Nuggets 120 - 113 Los Angeles Lakers
1594,Orlando Magic vs Dallas Mavericks,Orlando Magic,Spread,-10.5,2026-03-06 00:00:00+00:00,Lost,Orlando Magic 115 - 114 Dallas Mavericks
1603,Phoenix Suns vs Chicago Bulls,Chicago Bulls,Spread,9.5,2026-03-06 02:00:00+00:00,Won,Phoenix Suns 103 - 105 Chicago Bulls
1636,Charlotte Hornets vs Miami Heat,Charlotte Hornets,Spread,-8.5,2026-03-07 00:00:00+00:00,Lost,Charlotte Hornets 120 - 128 Miami Heat
1637,Denver Nuggets vs New York Knicks,New York Knicks,Spread,-2.5,2026-03-07 02:00:00+00:00,Won,Denver Nuggets 103 - 142 New York Knicks
1642,Houston Rockets vs Portland Trail Blazers,Portland Trail Blazers,Spread,4.5,2026-03-07 01:00:00+00:00,Lost,Houston Rockets 106 - 99 Portland Trail Blazers
1644,Los Angeles Lakers vs Indiana Pacers,Los Angeles Lakers,Spread,-11.5,2026-03-07 03:30:00+00:00,Lost,Los Angeles Lakers 128 - 117 Indiana Pacers
1648,Boston Celtics vs Dallas Mavericks,Dallas Mavericks,Spread,13.5,2026-03-07 00:00:00+00:00,Lost,Boston Celtics 120 - 100 Dallas Mavericks
1651,Phoenix Suns vs New Orleans Pelicans,New Orleans Pelicans,Spread,4.5,2026-03-07 02:00:00+00:00,Won,Phoenix Suns 118 - 116 New Orleans Pelicans
1674,Memphis Grizzlies vs Los Angeles Clippers,Memphis Grizzlies,Spread,4.5,2026-03-08 01:00:00+00:00,Won,Memphis Grizzlies 120 - 123 Los Angeles Clippers
1675,Detroit Pistons vs Brooklyn Nets,Detroit Pistons,Spread,-15.5,2026-03-07 23:00:00+00:00,Lost,Detroit Pistons 105 - 107 Brooklyn Nets
1680,Milwaukee Bucks vs Utah Jazz,Milwaukee Bucks,Spread,-12.5,2026-03-08 01:00:00+00:00,Won,Milwaukee Bucks 113 - 99 Utah Jazz
1706,Milwaukee Bucks vs Orlando Magic,Milwaukee Bucks,Spread,2.5,2026-03-09 00:00:00+00:00,Lost,Milwaukee Bucks 91 - 130 Orlando Magic
1759,Oklahoma City Thunder vs Denver Nuggets,Denver Nuggets,Spread,5.5,2026-03-09 23:30:00+00:00,Won,Oklahoma City Thunder 129 - 126 Denver Nuggets
1760,Utah Jazz vs Golden State Warriors,Golden State Warriors,Spread,-6.5,2026-03-10 01:00:00+00:00,Lost,Utah Jazz 119 - 116 Golden State Warriors
